sample_name,type,flowcell,lane,file,ega_id
SJCBF149,G,D12JLAXX.,.,SJCBF149_G-D12JLAXX.1.bam.cip,EGAF00000879390
SJCBF149,G,D12JLAXX.,.,SJCBF149_G-D12JLAXX.2.bam.cip,EGAF00000879391
SJCBF150,D,D11PBACXX,1,SJCBF150_D-D11PBACXX.1.bam.cip,EGAF00000879392
SJCBF150,D,D11PBACXX,2,SJCBF150_D-D11PBACXX.2.bam.cip,EGAF00000879393
SJCBF150,G,D12JLAXX.,.,SJCBF150_G-D12JLAXX.1.bam.cip,EGAF00000879394
SJCBF150,G,D12JLAXX.,.,SJCBF150_G-D12JLAXX.2.bam.cip,EGAF00000879395
SJCBF151,D,D11PBACXX,3,SJCBF151_D-D11PBACXX.3.bam.cip,EGAF00000879396
SJCBF151,D,D11PBACXX,4,SJCBF151_D-D11PBACXX.4.bam.cip,EGAF00000879397
SJCBF151,G,D12JLAXX.,.,SJCBF151_G-D12JLAXX.1.bam.cip,EGAF00000879398
SJCBF151,G,D12JLAXX.,.,SJCBF151_G-D12JLAXX.2.bam.cip,EGAF00000879399
SJCBF152,D,D11PBACXX,3,SJCBF152_D-D11PBACXX.3.bam.cip,EGAF00000879400
SJCBF152,D,D11PBACXX,4,SJCBF152_D-D11PBACXX.4.bam.cip,EGAF00000879401
SJCBF152,G,D12JLAXX.,.,SJCBF152_G-D12JLAXX.1.bam.cip,EGAF00000879402
SJCBF152,G,D12JLAXX.,.,SJCBF152_G-D12JLAXX.2.bam.cip,EGAF00000879403
